ISO3,country,coverage,deaths,averted,per10k
ABW,,84.97,,,
AFG,Afghanistan,41.74,6520,5290,1.36
AGO,Angola,44.24,1680,2280,0.6945
AIA,,68.36,,,
ALA,,,,,
ALB,Albania,47.44,3210,4110,14.29
AND,,72.53,,,
ARE,United Arab Emirates,105.83,2200,18210,18.41
ARG,Argentina,91.18,123300,104700,23.17
ARM,Armenia,40.35,8050,3290,11.09
ASM,,,,,
ATA,,,,,
ATF,,,,,
ATG,Antigua & Barbuda,68.56,140,380,38.67
AUS,Australia,84.93,2230,47860,18.77
AUT,Austria,77.18,13570,41730,46.34
AZE,Azerbaijan,51.88,8280,27250,26.87
BDI,Burundi,0.29,10,0,5.049e-13
BEL,Belgium,79.5,28180,124800,107.7
BEN,Benin,27.69,170,20,0.01559
BES,,70.64,,,
BFA,Burkina Faso,22.72,300,50,0.02625
BGD,Bangladesh,88.43,26440,21630,1.314
BGR,Bulgaria,31.09,29500,18570,26.73
BHR,Bahrain,84.31,1520,3430,20.15
BHS,Bahamas,42.64,720,980,24.85
BIH,Bosnia & Herzegovina,29.18,13060,6420,19.57
BLM,,,,,
BLR,Belarus,67.53,5480,3350,3.54
BLZ,Belize,63.78,620,930,23.42
BMU,,75.62,,,
BOL,Bolivia,60.22,19540,10540,9.031
BRA,Brazil,88.08,638400,884800,41.63
BRB,Barbados,58.17,260,950,33.18
BRN,Brunei,100.45,100,950,21.75
BTN,Bhutan,89.35,2,970,12.53
BVT,,,,,
BWA,Botswana,74.18,2410,1950,8.307
CAF,Central African Republic,42.69,100,5,0.01122
CAN,Canada,90.4,28010,310400,82.23
CCK,,,,,
CHE,Switzerland,69.75,12410,27150,31.38
CHL,Chile,92.27,39610,108100,56.54
CHN,,91.89,,,
CIV,Côte d’Ivoire,48.18,720,940,0.3558
CMR,Cameroon,13.1,1840,520,0.1945
COD,Congo - Kinshasa,15.54,980,2,0.0001758
COG,Congo - Brazzaville,11.65,380,420,0.757
COK,,88.73,,,
COL,Colombia,82.92,132300,90430,17.77
COM,Comoros,52.44,150,420,4.797
CPV,Cape Verde,60.14,370,930,16.77
CRI,Costa Rica,89.6,7690,20580,40.4
CUB,Cuba,95.96,8810,35720,31.54
CUW,,56.81,,,
CXR,,,,,
CYM,,90.34,,,
CYP,Cyprus,74.91,600,4450,36.89
CZE,Czechia,66.48,37160,68930,64.37
DEU,Germany,77.82,100100,646600,77.17
DJI,Djibouti,33.2,180,50,0.4595
DMA,,45.35,,,
DNK,Denmark,81.12,3210,24520,42.33
DOM,Dominican Republic,65.24,4370,6400,5.902
