Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
Afghanistan,AFG,2021-02-22,0,
Afghanistan,AFG,2021-02-28,0.02,
Afghanistan,AFG,2021-03-16,0.13,
Afghanistan,AFG,2021-04-07,0.29,
Afghanistan,AFG,2021-04-22,0.58,
Afghanistan,AFG,2021-05-11,1.09,
Afghanistan,AFG,2021-05-20,1.14,
Afghanistan,AFG,2021-05-24,1.16,
Afghanistan,AFG,2021-05-26,1.17,
Afghanistan,AFG,2021-05-27,1.17,
Afghanistan,AFG,2021-05-30,1.17,
Afghanistan,AFG,2021-06-02,1.17,
Afghanistan,AFG,2021-06-03,1.17,
Afghanistan,AFG,2021-06-08,1.17,
Afghanistan,AFG,2021-06-14,1.18,
Afghanistan,AFG,2021-06-22,1.42,
Afghanistan,AFG,2021-06-27,1.58,
Afghanistan,AFG,2021-06-30,1.7,
Afghanistan,AFG,2021-07-05,1.77,
Afghanistan,AFG,2021-07-07,1.79,
Afghanistan,AFG,2021-07-11,1.81,
Afghanistan,AFG,2021-08-20,1.87,
Afghanistan,AFG,2021-08-31,1.88,
Afghanistan,AFG,2021-09-30,2.01,
Afghanistan,AFG,2021-11-14,8.58,
Afghanistan,AFG,2021-12-27,10.07,
Afghanistan,AFG,2022-01-09,10.6,
Afghanistan,AFG,2022-01-11,10.65,
Afghanistan,AFG,2022-01-13,10.71,
Afghanistan,AFG,2022-01-17,10.78,
Afghanistan,AFG,2022-01-19,10.82,
Afghanistan,AFG,2022-01-24,10.91,
Afghanistan,AFG,2022-01-26,10.97,
Afghanistan,AFG,2022-01-27,10.98,
Afghanistan,AFG,2022-01-31,11.07,
Afghanistan,AFG,2022-02-02,11.13,
Afghanistan,AFG,2022-02-07,11.27,
Afghanistan,AFG,2022-02-14,11.48,
Afghanistan,AFG,2022-02-20,11.67,
Afghanistan,AFG,2022-02-27,11.93,
Afghanistan,AFG,2022-03-06,12.04,
Afghanistan,AFG,2022-03-17,12.32,
Afghanistan,AFG,2022-03-22,12.36,
Afghanistan,AFG,2022-04-04,12.61,
Afghanistan,AFG,2022-04-14,12.76,
Afghanistan,AFG,2022-04-18,12.77,
Afghanistan,AFG,2022-04-26,12.85,
Afghanistan,AFG,2022-04-27,12.85,
Afghanistan,AFG,2022-05-05,12.93,
Afghanistan,AFG,2022-05-08,12.94,
Afghanistan,AFG,2022-05-10,12.95,
Afghanistan,AFG,2022-05-15,13.03,
Afghanistan,AFG,2022-05-23,13.15,
Afghanistan,AFG,2022-06-01,13.27,
Afghanistan,AFG,2022-06-15,13.55,
Afghanistan,AFG,2022-06-21,13.69,
Afghanistan,AFG,2022-06-30,13.89,
Afghanistan,AFG,2022-07-10,13.99,
Afghanistan,AFG,2022-07-17,14.51,
Afghanistan,AFG,2022-07-19,17.36,
Afghanistan,AFG,2022-07-27,17.74,
Afghanistan,AFG,2022-08-07,22.04,
Afghanistan,AFG,2022-08-15,25.42,
Afghanistan,AFG,2022-08-22,25.81,
Afghanistan,AFG,2022-08-31,26.09,
Afghanistan,AFG,2022-09-04,26.13,
Afghanistan,AFG,2022-09-11,26.32,
Afghanistan,AFG,2022-09-12,26.33,
Afghanistan,AFG,2022-09-19,26.44,
Afghanistan,AFG,2022-09-26,26.55,
Afghanistan,AFG,2022-09-28,26.57,
Afghanistan,AFG,2022-10-04,26.65,
Afghanistan,AFG,2022-10-11,26.71,
Afghanistan,AFG,2022-10-16,26.78,
Afghanistan,AFG,2022-10-24,26.95,
Afghanistan,AFG,2022-11-01,27.06,
Afghanistan,AFG,2022-11-02,27.15,
Afghanistan,AFG,2022-11-08,27.22,
Afghanistan,AFG,2022-11-15,27.29,
Afghanistan,AFG,2022-11-16,27.32,
Afghanistan,AFG,2022-11-27,27.46,
Afghanistan,AFG,2022-12-05,27.53,
Afghanistan,AFG,2022-12-22,27.86,
Afghanistan,AFG,2023-01-06,28.04,
Afghanistan,AFG,2023-01-16,28.22,
Afghanistan,AFG,2023-01-22,28.38,
Afghanistan,AFG,2023-01-29,28.41,
Afghanistan,AFG,2023-02-12,28.6,
Afghanistan,AFG,2023-02-14,28.65,
Afghanistan,AFG,2023-02-19,30.1,
Afghanistan,AFG,2023-02-23,30.64,
Afghanistan,AFG,2023-02-26,32.08,
Afghanistan,AFG,2023-02-28,32.68,
Afghanistan,AFG,2023-03-05,34.18,
Afghanistan,AFG,2023-03-12,34.67,
Afghanistan,AFG,2023-03-14,34.67,
Afghanistan,AFG,2023-03-19,35.1,
Afghanistan,AFG,2023-03-21,35.12,
Afghanistan,AFG,2023-03-26,35.15,
Afghanistan,AFG,2023-03-28,35.15,
Afghanistan,AFG,2023-04-02,35.32,
Afghanistan,AFG,2023-04-09,35.4,
Afghanistan,AFG,2023-04-11,35.53,
Afghanistan,AFG,2023-04-16,35.6,
Afghanistan,AFG,2023-04-18,35.79,
Afghanistan,AFG,2023-04-24,35.82,
Afghanistan,AFG,2023-04-25,35.83,
Afghanistan,AFG,2023-04-30,35.93,
Afghanistan,AFG,2023-05-03,35.96,
Afghanistan,AFG,2023-05-09,36.04,
Afghanistan,AFG,2023-05-14,36.23,
Afghanistan,AFG,2023-05-16,36.35,
Afghanistan,AFG,2023-05-21,36.97,
Afghanistan,AFG,2023-05-29,38.6,
Afghanistan,AFG,2023-06-06,40.78,
Afghanistan,AFG,2023-06-11,41.28,
Afghanistan,AFG,2023-06-13,41.3,
Afghanistan,AFG,2023-06-18,41.74,
Africa,,2021-01-09,0,
Africa,,2021-01-10,0,
Africa,,2021-01-11,0,
Africa,,2021-01-12,0,
Africa,,2021-01-13,0,
Africa,,2021-01-14,0,
Africa,,2021-01-15,0,
Africa,,2021-01-16,0,
Africa,,2021-01-17,0,
Africa,,2021-01-18,0,
Africa,,2021-01-19,0,
Africa,,2021-01-20,0,
Africa,,2021-01-21,0,
Africa,,2021-01-22,0,
Africa,,2021-01-23,0,
