"Period","Estimated malaria mortality rate (per 100 000 population)"
2000,30.0882389675358
2001,29.2803922458202
2002,27.4052164875661
2003,26.2491914340959
2004,25.2337947794192
2005,24.0733119305923
2006,23.2947060715274
2007,22.317455275913
2008,21.3601433395248
2009,20.6892883608867
2010,19.8670655304725
2011,18.3338494616218
2012,17.0042091897087
2013,16.2049342749686
2014,15.4668670388507
2015,15.0446529091211
2016,14.9038793900961
2017,14.8623952735046
2018,14.1417476974874
2019,13.9792527517142
2020,15.148493773312
2021,14.8210688507906
